
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:8080         127.0.0.1:56114        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56233        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56310        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56325        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56341        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56348        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56398        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56451        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56462        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56516        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56519        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56591        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56607        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56655        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56667        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56784        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:57085        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:57116        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:57143        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:57197        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:57286        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:57325        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:57430        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:57454        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:57456        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:57615        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:57736        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:57806        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:57823        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:57876        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58209        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58268        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58269        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58299        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58401        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58465        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58501        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58564        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58701        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58768        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58783        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58830        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58873        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58884        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58930        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58961        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58967        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:58979        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59047        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59069        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59184        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59191        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59238        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59444        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59522        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59558        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59580        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59600        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59602        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59655        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59735        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59769        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59793        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59903        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59920        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59955        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:59960        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60060        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60151        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60219        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60251        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60355        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60526        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60575        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60614        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60631        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60646        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60658        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60685        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60779        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60806        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60877        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:60895        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:61030        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:61122        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:61235        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:61264        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:61388        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:61561        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:61591        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:61730        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:61805        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:61948        TIME_WAIT       0
